iter	RMSE
0	4978.121665
1	4584.631018
2	4238.699365
3	3924.891956
4	3655.965772
5	3414.933441
6	3199.493235
7	3016.861419
8	2861.080998
9	2722.73128
10	2598.7462
11	2491.839947
12	2403.507945
13	2325.776164
14	2256.892203
15	2201.517572
16	2151.049006
17	2106.593837
18	2070.100924
19	2032.951612
20	2002.067664
21	1974.649172
22	1950.530653
23	1927.207491
24	1903.532861
25	1873.017196
26	1848.99592
27	1823.773979
28	1805.454559
29	1788.246027
30	1768.699046
31	1752.130803
32	1733.609812
33	1718.429831
34	1706.719087
35	1696.450814
36	1684.834086
37	1672.701875
38	1661.681367
39	1651.107878
40	1643.243525
41	1632.249557
42	1625.497113
43	1619.260316
44	1610.564895
45	1605.143802
46	1598.178461
47	1590.161051
48	1584.216626
49	1576.938189
50	1568.363081
51	1562.854908
52	1557.896077
53	1552.899175
54	1546.826253
55	1542.961861
56	1538.463859
57	1531.614799
58	1527.358062
59	1522.151428
60	1518.318962
61	1514.78495
62	1510.939468
63	1506.213762
64	1500.305569
65	1494.094684
66	1489.959638
67	1486.584708
68	1481.4776
69	1478.129564
70	1472.745363
71	1469.763447
72	1466.668871
73	1461.979774
74	1457.64257
75	1454.524134
76	1451.080597
77	1448.785833
78	1445.649888
79	1443.172083
80	1440.556269
81	1437.884059
82	1433.952246
83	1431.259304
84	1427.704023
85	1425.476362
86	1422.475197
87	1420.051099
88	1417.747265
89	1415.905999
90	1412.987629
91	1410.212665
92	1408.403962
93	1406.011106
94	1404.497839
95	1402.511509
96	1399.299772
97	1397.502841
98	1395.409464
99	1393.071928
100	1391.398402
101	1389.059344
102	1387.977152
103	1386.229368
104	1384.426821
105	1381.323566
106	1379.761643
107	1377.020879
108	1374.7508
109	1373.239529
110	1372.005743
111	1370.066548
112	1368.16601
113	1367.001905
114	1365.824022
115	1364.008477
116	1362.391952
117	1360.647037
118	1358.409965
119	1356.995368
120	1355.758279
121	1353.604122
122	1352.711336
123	1350.44188
124	1349.061187
125	1346.334557
126	1345.669732
127	1344.559645
128	1343.626122
129	1342.348437
130	1341.18793
131	1339.557054
132	1338.778175
133	1337.705077
134	1335.843625
135	1334.789626
136	1334.155929
137	1333.04183
138	1331.118458
139	1329.029113
140	1327.208635
141	1326.425616
142	1324.801547
143	1324.090052
144	1323.412243
145	1322.483162
146	1320.604376
147	1319.075607
148	1318.187115
149	1317.223912
150	1315.651815
151	1314.594459
152	1313.147749
153	1311.907815
154	1310.914659
155	1309.747863
156	1308.294543
157	1307.522484
158	1306.172458
159	1305.207638
160	1304.006937
161	1303.274443
162	1302.420588
163	1301.484208
164	1300.644015
165	1299.928208
166	1299.209946
167	1298.814418
168	1297.609583
169	1297.242088
170	1296.08467
171	1294.501735
172	1293.748194
173	1293.1122
174	1291.603503
175	1290.355539
176	1289.392114
177	1288.635705
178	1288.029342
179	1286.184134
180	1285.678329
181	1284.749892
182	1283.940434
183	1283.011602
184	1282.275952
185	1281.455317
186	1280.470129
187	1279.557947
188	1278.800475
189	1278.081171
190	1277.002801
191	1276.21857
192	1275.241914
193	1274.84016
194	1274.428556
195	1273.793057
196	1273.334003
197	1272.790669
198	1272.477008
199	1271.900583
200	1271.434189
201	1269.974747
202	1269.161686
203	1268.378809
204	1267.639768
205	1267.097514
206	1266.283636
207	1265.891027
208	1265.325352
209	1264.760217
210	1263.587451
211	1263.104987
212	1262.700784
213	1262.285919
214	1261.635734
215	1261.051706
216	1260.318947
217	1259.494431
218	1259.185696
219	1259.003894
220	1258.170311
221	1257.670271
222	1257.180542
223	1256.662723
224	1256.097488
225	1255.685812
226	1254.998344
227	1254.264606
228	1253.559518
229	1252.946442
230	1252.083545
231	1251.658874
232	1251.362344
233	1250.977053
234	1250.217999
235	1249.809044
236	1249.445143
237	1248.538298
238	1247.558284
239	1247.1374
240	1246.681045
241	1245.888983
242	1245.565675
243	1245.142852
244	1244.177743
245	1243.884838
246	1243.232123
247	1242.50506
248	1241.727333
249	1241.080473
250	1239.413909
251	1238.931124
252	1238.338648
253	1237.818608
254	1237.078068
255	1236.867132
256	1236.594115
257	1236.039632
258	1235.614882
259	1234.981743
260	1234.840164
261	1234.4145
262	1234.16203
263	1233.641642
264	1233.125351
265	1232.841522
266	1232.409937
267	1231.37639
268	1230.955542
269	1230.458924
270	1229.572282
271	1229.286544
272	1229.258656
273	1228.865848
274	1228.795042
275	1228.352727
276	1227.769615
277	1227.331479
278	1226.573879
279	1226.278911
280	1225.613676
281	1225.199778
282	1225.062129
283	1224.487497
284	1223.762343
285	1223.659993
286	1223.156432
287	1222.798718
288	1222.611321
289	1222.132903
290	1221.755813
291	1221.210093
292	1221.093034
293	1220.898882
294	1220.478213
295	1220.134177
296	1220.031975
297	1219.973166
298	1219.540282
299	1219.10605
