iter	Passed	Remaining
0	7	1434
1	15	1513
2	21	1420
3	27	1338
4	33	1320
5	40	1299
6	47	1302
7	55	1325
8	61	1308
9	67	1282
10	73	1257
11	79	1244
12	85	1232
13	91	1217
14	98	1210
15	103	1195
16	109	1174
17	114	1161
18	120	1151
19	124	1122
20	131	1116
21	137	1108
22	143	1104
23	153	1124
24	160	1126
25	167	1123
26	179	1148
27	185	1138
28	192	1136
29	198	1126
30	204	1115
31	210	1106
32	218	1105
33	224	1095
34	242	1141
35	249	1134
36	256	1130
37	264	1129
38	272	1125
39	281	1124
40	288	1118
41	295	1112
42	302	1104
43	309	1098
44	316	1090
45	323	1082
46	331	1078
47	337	1069
48	345	1063
49	352	1057
50	359	1050
51	365	1040
52	372	1032
53	378	1023
54	385	1016
55	391	1006
56	396	994
57	402	986
58	407	974
59	413	964
60	420	958
61	426	950
62	433	943
63	438	932
64	444	923
65	450	915
66	456	906
67	462	897
68	468	888
69	474	880
70	479	871
71	485	862
72	493	858
73	498	848
74	507	845
75	513	838
76	520	830
77	525	822
78	532	815
79	538	808
80	545	801
81	552	794
82	558	787
83	564	780
84	573	775
85	579	768
86	587	762
87	596	758
88	604	753
89	611	746
90	618	740
91	624	733
92	632	727
93	639	721
94	647	716
95	654	709
96	661	702
97	668	695
98	675	688
99	682	682
100	690	677
101	697	670
102	705	664
103	712	657
104	718	650
105	725	643
106	732	636
107	739	629
108	746	622
109	752	615
110	759	609
111	765	601
112	771	594
113	778	587
114	784	580
115	790	572
116	796	564
117	802	557
118	808	550
119	814	542
120	821	536
121	827	529
122	833	521
123	842	516
124	848	509
125	854	501
126	859	494
127	866	487
128	872	480
129	879	473
130	886	467
131	894	460
132	901	453
133	908	447
134	916	441
135	924	435
136	931	428
137	939	422
138	946	415
139	952	408
140	959	401
141	966	394
142	974	388
143	979	381
144	988	374
145	994	367
146	1000	360
147	1007	354
148	1015	347
149	1028	342
150	1044	338
151	1050	331
152	1052	323
153	1057	315
154	1070	310
155	1082	305
156	1099	301
157	1110	295
158	1120	288
159	1130	282
160	1141	276
161	1151	270
162	1162	263
163	1174	257
164	1185	251
165	1197	245
166	1206	238
167	1217	231
168	1227	225
169	1238	218
170	1247	211
171	1260	205
172	1267	197
173	1278	191
174	1289	184
175	1300	177
176	1311	170
177	1320	163
178	1331	156
179	1342	149
180	1354	142
181	1364	134
182	1376	127
183	1386	120
184	1397	113
185	1407	105
186	1417	98
187	1428	91
188	1439	83
189	1449	76
190	1459	68
191	1465	61
192	1472	53
193	1477	45
194	1483	38
195	1490	30
196	1495	22
197	1502	15
198	1508	7
199	1514	0
